Row,id5506,id12223,id5492,id5508,id5499,id5563,id5528,id5568,id5500,id5569,id5533,id5566,id14442,id5493,id14189,id5570,id5546,id5519,id11394,id10569,id5539,id5571,id5515,id5560,id5544,id10578,id10575,id5559,id5561,id5564,id14439,id10577,id5509,id5502,id5524,id14443,id10818,id10574,id5512,id5513,id5510,id5527,id14437,id5573,id5536,id10584,id10579,id5541,id5483,id10570,id10572,id14764,id10573,id5514,id10571,id10568,id11298,id5557,id14444,id10816,id10576,id5497,id11395,id11396,id5567,id5565
id5537,6,6,6,6,6,6,6,6,6,6,6,5,1,6,1,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,5,6,6,1,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,1,6,6,4,6,6,5,6
id14767,3,3,3,3,3,1,2,2,3,3,3,3,3,3,3,3,1,3,3,1,2,3,3,3,3,3,3,1,NaN,1,3,3,3,2,2,3,3,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,2,3,3,3,3,1,3,1,3,3,3,3
id14437,7,7,7,7,7,4,5,3,7,7,7,6,6,7,7,7,5,7,7,4,6,6,7,6,7,7,7,4,2,3,6,7,7,5,4,7,7,6,4,7,7,5,7,7,6,6,6,4,7,7,6,7,6,7,5,7,7,6,7,4,5,2,7,7,7,6
id5573,11,11,11,11,11,6,11,10,11,11,11,10,7,11,7,11,8,10,11,6,11,11,11,11,11,11,11,6,6,6,6,11,10,11,10,7,10,10,6,11,11,8,6,11,11,11,9,6,11,11,9,7,9,11,11,11,11,11,7,6,11,5,10,11,9,10
id5536,14,14,14,15,15,11,12,11,15,15,15,13,8,15,8,15,12,15,15,12,14,15,15,14,15,15,15,12,11,12,7,15,15,14,13,8,15,13,12,15,15,12,8,15,15,14,14,11,15,15,14,8,13,15,14,15,15,14,8,12,14,12,15,15,13,13
id10584,17,16,17,17,17,9,14,12,16,17,17,16,13,17,13,17,13,17,17,7,16,17,17,17,17,17,16,9,6,9,10,17,17,14,16,12,17,17,9,17,17,16,13,17,17,16,15,9,17,17,15,13,16,17,14,17,17,16,13,9,16,7,17,16,16,14
id14441,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2
id10579,13,12,13,13,13,12,12,11,13,13,13,12,3,12,3,13,11,12,13,12,13,13,13,13,13,13,13,12,11,12,3,13,13,12,11,3,13,12,12,13,13,12,3,13,13,13,13,10,13,13,13,3,12,13,11,13,13,13,3,12,13,11,13,13,11,13
id5541,15,14,15,15,15,10,13,10,15,15,15,13,8,15,8,15,11,15,15,10,14,15,15,15,15,15,15,10,7,10,6,15,15,13,14,8,15,15,10,15,15,14,8,15,15,15,14,10,15,15,13,8,13,15,12,15,15,14,8,10,15,11,15,14,11,14
id14448,1,1,1,1,1,NaN,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,1,1,1,1,1
