bill_number,bill_id,title
HB337,244902,Restore Military Readiness Act of 2011
HB338,244903,Protecting Our Kids' Medicine Act
HB339,244904,End the Lame Duck Act
HB340,244905,To amend title XIX of the Social Security Act to remove the exclusion from medical assistance under the Medicaid Program of items and services for patients in an institution for mental diseases.
HB341,244906,TIFIA of 2011
HB342,244907,To amend titles XIX and XVIII of the Social Security Act as amended by the Patient Protection and Affordable Care Act and the Health Care and Education Reconciliation Act of 2010 with respect to payment of disproportionate share hospitals (DSH) under the Medicare and Medicaid programs.
HB343,244908,To repeal the provision of law that provides automatic pay adjustments for Members of Congress.
HB344,244909,Fiscal Responsibility Effective Enforcement Act of 2011
HB345,244910,District of Columbia Budget Autonomy Act of 2011
HB346,244911,Health Care Choice Act of 2011
HB347,244912,Federal Restricted Buildings and Grounds Improvement Act of 2011
HB348,244913,To prohibit the Administrator of the Federal Highway Administration from requiring the replacement of street and highway signs that are in upper case letters with such signs that are in mixed case lettering with the initial letter in upper case followed by lower case lettering.
HB349,244914,IRS Fee Reform Act of 2011
HB350,244915,Anti-hunger Empowerment Act of 2011
HB351,244916,Medicaid Newborn Coverage Act of 2011
HB352,244917,To permit members of the House of Representatives to donate used computer equipment to public elementary and secondary schools designated by the members.
HB353,244918,Glaucoma Screening Act of 2011
HB354,244919,For the relief of Lauli'i Matu'u.
HB355,244920,For the relief of Pablo Eduardo Perrone and Maria Cristina Lemos.
HB356,244921,For the relief of Flavia Maboloc Cahoon.
HB357,244922,For the relief of Corina de Chalup Turcinovic.
HB358,244923,Protect Life Act
HB359,244924,To reduce Federal spending and the deficit by terminating taxpayer financing of presidential election campaigns and party conventions.
HB360,244925,To amend the Patient Protection and Affordable Care Act to provide for participation in the Exchange of the President Vice-President Members of Congress political appointees and congressional staff.
HB361,244926,Abortion Non-Discrimination Act of 2011
HB362,244927,"To redesignate the Federal building and United States Courthouse located at 200 East Wall Street in Midland Texas as the ""George H. W. Bush and George W. Bush United States Courthouse and George Mahon Federal Building""."
HB363,244928,Housing Opportunity and Mortgage Equity Act of 2011
HB364,244929,Common Sense Health Reform Americans Actually Want Act
HB365,244930,National Blue Alert Act of 2012
HB366,244931,To provide for an additional temporary extension of programs under the Small Business Act and the Small Business Investment Act of 1958 and for other purposes.
HB367,244932,Freedom to Serve Without Fear Act of 2011
HB368,244933,Removal Clarification Act of 2011
HB369,244934,Health Savings and Affordability Act of 2011
HB370,244935,PASS Act of 2011
HB371,244936,Health Care Choice Act of 2011
HB372,244937,To amend the Outer Continental Shelf Lands Act to authorize the Secretary of the Interior to deny leases and permits to persons who engage in activities with the government of any foreign country that is subject to any sanction or an embargo established by the Government of the United States.
HB373,244938,Unfunded Mandates Information and Transparency Act of 2011
HB374,244939,Life at Conception Act
HB375,244940,Fix United States Government Contracting Deficit with China Act
HB376,244941,Volunteer Emergency Services Recruitment and Retention Act of 2011
HB377,244942,Food Assistance to Improve Reintegration Act of 2011
HB378,244943,Public Housing Drug Elimination Program Reauthorization Act of 2011
HB379,244944,Community Partners Next Door Act of 2011
HB380,244945,Pursuit of International Education (PIE) Act of 2011
HB381,244946,Enhanced Violent Crime Community Policing Act of 2011
HB382,244947,Income Equity Act of 2011
HB383,244948,Menopausal Hormone Replacement Therapies and Alternative Treatments and Fairness Act of 2011
HB384,244949,Peace Stamp for the Peace Corps Act
HB385,244950,Poverty Impact Trigger Act of 2011
HB386,244951,Securing Aircraft Cockpits Against Lasers Act of 2011
HB387,244952,Charitable Driving Tax Relief Act of 2011
HB388,244953,Detainee Trials at Gitmo Act
HB389,244954,End the Stimulus Advertisement Act
HB390,244955,Family Farm Preservation and Conservation Estate Tax Act
HB391,244956,For the relief of Emilio Maya.
HB392,244957,For the relief of Geert Botzen.
HB393,244958,For the relief of Maria Eva Duran Jessica Duran Cortes Daniel Ivan Duran Cortes and Jose Antonio Duran Cortes.
HB394,244959,Federal Courts Jurisdiction and Venue Clarification Act of 2011
HB395,244960,Healthy Communities Water Supply Act of 2011
HB396,244961,TBI Treatment Act
HB397,244962,Reform Americans Can Afford Act of 2011
HB398,244963,To amend the Immigration and Nationality Act to toll during active-duty service abroad in the Armed Forces the periods of time to file a petition and appear for an interview to remove the conditional basis for permanent resident status and for other purposes.
HB399,244964,STAPLE Act
HB400,244965,To require certain warning labels to be placed on video games that are given certain ratings due to violent content.
HB401,244966,To authorize the President to award a gold medal on behalf of Congress to Muhammad Ali in recognition of his contributions to the Nation.
HB402,244967,National Infrastructure Development Bank Act of 2011
HB403,244968,Battlefield Excellence through Superior Training Practices Act
HB404,244969,Renewable Fuels for America's Future Act of 2011
HB405,244970,ACCESS Act of 2011
HB406,244971,To amend the Federal Election Campaign Act of 1971 to permit candidates for election for Federal office to designate an individual who will be authorized to disburse funds of the authorized campaign committees of the candidate in the event of the death of the candidate.
